CLIENTE 127 | Prodotti acquistati:89 | Tempo nel negozio:6.154 s | Tempo in coda:5.928 s | Code cambiate:1 |
CLIENTE 126 | Prodotti acquistati:82 | Tempo nel negozio:6.154 s | Tempo in coda:5.897 s | Code cambiate:1 |
CLIENTE 129 | Prodotti acquistati:3 | Tempo nel negozio:5.943 s | Tempo in coda:5.589 s | Code cambiate:1 |
CLIENTE 128 | Prodotti acquistati:96 | Tempo nel negozio:5.943 s | Tempo in coda:5.558 s | Code cambiate:1 |
CLIENTE 189 | Prodotti acquistati:23 | Tempo nel negozio:1.355 s | Tempo in coda:0.977 s | Code cambiate:1 |
CLIENTE 147 | Prodotti acquistati:29 | Tempo nel negozio:4.637 s | Tempo in coda:4.372 s | Code cambiate:1 |
CLIENTE 151 | Prodotti acquistati:57 | Tempo nel negozio:4.409 s | Tempo in coda:4.083 s | Code cambiate:1 |
CLIENTE 154 | Prodotti acquistati:78 | Tempo nel negozio:3.931 s | Tempo in coda:3.600 s | Code cambiate:1 |
CLIENTE 200 | Prodotti acquistati:0 | Tempo nel negozio:0.219 s | Tempo di coda:0 s | Code cambiate:0 |
CLIENTE 160 | Prodotti acquistati:20 | Tempo nel negozio:3.871 s | Tempo in coda:3.636 s | Code cambiate:1 |
CLIENTE 133 | Prodotti acquistati:31 | Tempo nel negozio:6.496 s | Tempo in coda:6.173 s | Code cambiate:1 |
CLIENTE 191 | Prodotti acquistati:37 | Tempo nel negozio:1.879 s | Tempo in coda:1.660 s | Code cambiate:1 |
CLIENTE 197 | Prodotti acquistati:79 | Tempo nel negozio:1.035 s | Tempo in coda:0.816 s | Code cambiate:1 |
CLIENTE 199 | Prodotti acquistati:93 | Tempo nel negozio:1.035 s | Tempo in coda:0.785 s | Code cambiate:1 |
CLIENTE 193 | Prodotti acquistati:51 | Tempo nel negozio:1.879 s | Tempo in coda:1.533 s | Code cambiate:1 |
CLIENTE 201 | Prodotti acquistati:7 | Tempo nel negozio:1.104 s | Tempo in coda:0.723 s | Code cambiate:1 |
CLIENTE 132 | Prodotti acquistati:24 | Tempo nel negozio:7.020 s | Tempo in coda:6.666 s | Code cambiate:1 |
CLIENTE 166 | Prodotti acquistati:62 | Tempo nel negozio:4.247 s | Tempo in coda:4.009 s | Code cambiate:1 |
CLIENTE 163 | Prodotti acquistati:41 | Tempo nel negozio:4.342 s | Tempo in coda:4.009 s | Code cambiate:1 |
CLIENTE 172 | Prodotti acquistati:4 | Tempo nel negozio:4.087 s | Tempo in coda:3.749 s | Code cambiate:1 |
CLIENTE 171 | Prodotti acquistati:97 | Tempo nel negozio:4.088 s | Tempo in coda:3.718 s | Code cambiate:1 |
CLIENTE 203 | Prodotti acquistati:21 | Tempo nel negozio:1.401 s | Tempo in coda:1.081 s | Code cambiate:1 |
CLIENTE 209 | Prodotti acquistati:63 | Tempo nel negozio:0.630 s | Tempo in coda:0.405 s | Code cambiate:1 |
CLIENTE 217 | Prodotti acquistati:19 | Tempo nel negozio:0.678 s | Tempo in coda:0.416 s | Code cambiate:1 |
CLIENTE 135 | Prodotti acquistati:45 | Tempo nel negozio:7.700 s | Tempo in coda:7.443 s | Code cambiate:1 |
CLIENTE 138 | Prodotti acquistati:66 | Tempo nel negozio:7.378 s | Tempo in coda:7.117 s | Code cambiate:1 |
CLIENTE 215 | Prodotti acquistati:5 | Tempo nel negozio:0.817 s | Tempo in coda:0.496 s | Code cambiate:1 |
CLIENTE 144 | Prodotti acquistati:8 | Tempo nel negozio:7.087 s | Tempo in coda:6.822 s | Code cambiate:1 |
CLIENTE 178 | Prodotti acquistati:46 | Tempo nel negozio:4.489 s | Tempo in coda:4.247 s | Code cambiate:1 |
CLIENTE 181 | Prodotti acquistati:67 | Tempo nel negozio:4.434 s | Tempo in coda:4.091 s | Code cambiate:1 |
CLIENTE 184 | Prodotti acquistati:88 | Tempo nel negozio:4.274 s | Tempo in coda:3.935 s | Code cambiate:1 |
CLIENTE 182 | Prodotti acquistati:74 | Tempo nel negozio:4.275 s | Tempo in coda:3.965 s | Code cambiate:1 |
CLIENTE 183 | Prodotti acquistati:81 | Tempo nel negozio:4.275 s | Tempo in coda:3.905 s | Code cambiate:1 |
CLIENTE 145 | Prodotti acquistati:15 | Tempo nel negozio:7.433 s | Tempo in coda:7.106 s | Code cambiate:1 |
CLIENTE 150 | Prodotti acquistati:50 | Tempo nel negozio:6.937 s | Tempo in coda:6.575 s | Code cambiate:1 |
CLIENTE 152 | Prodotti acquistati:64 | Tempo nel negozio:6.459 s | Tempo in coda:6.162 s | Code cambiate:1 |
CLIENTE 156 | Prodotti acquistati:92 | Tempo nel negozio:6.293 s | Tempo in coda:6.026 s | Code cambiate:1 |
CLIENTE 187 | Prodotti acquistati:9 | Tempo nel negozio:4.223 s | Tempo in coda:3.978 s | Code cambiate:1 |
CLIENTE 221 | Prodotti acquistati:47 | Tempo nel negozio:1.205 s | Tempo in coda:0.978 s | Code cambiate:1 |
CLIENTE 225 | Prodotti acquistati:75 | Tempo nel negozio:0.998 s | Tempo in coda:0.701 s | Code cambiate:1 |
CLIENTE 227 | Prodotti acquistati:89 | Tempo nel negozio:0.840 s | Tempo in coda:0.605 s | Code cambiate:1 |
CLIENTE 190 | Prodotti acquistati:30 | Tempo nel negozio:4.540 s | Tempo in coda:4.195 s | Code cambiate:1 |
CLIENTE 196 | Prodotti acquistati:72 | Tempo nel negozio:3.788 s | Tempo in coda:3.534 s | Code cambiate:1 |
CLIENTE 195 | Prodotti acquistati:65 | Tempo nel negozio:3.788 s | Tempo in coda:3.503 s | Code cambiate:1 |
CLIENTE 194 | Prodotti acquistati:58 | Tempo nel negozio:3.788 s | Tempo in coda:3.474 s | Code cambiate:1 |
CLIENTE 162 | Prodotti acquistati:34 | Tempo nel negozio:6.317 s | Tempo in coda:5.951 s | Code cambiate:1 |
CLIENTE 164 | Prodotti acquistati:48 | Tempo nel negozio:6.222 s | Tempo in coda:5.921 s | Code cambiate:1 |
CLIENTE 168 | Prodotti acquistati:76 | Tempo nel negozio:6.185 s | Tempo in coda:5.912 s | Code cambiate:1 |
CLIENTE 230 | Prodotti acquistati:10 | Tempo nel negozio:0.889 s | Tempo in coda:0.656 s | Code cambiate:1 |
CLIENTE 202 | Prodotti acquistati:14 | Tempo nel negozio:3.648 s | Tempo in coda:3.297 s | Code cambiate:1 |
CLIENTE 174 | Prodotti acquistati:18 | Tempo nel negozio:6.039 s | Tempo in coda:5.766 s | Code cambiate:1 |
CLIENTE 233 | Prodotti acquistati:31 | Tempo nel negozio:1.548 s | Tempo in coda:1.216 s | Code cambiate:1 |
CLIENTE 239 | Prodotti acquistati:73 | Tempo nel negozio:0.896 s | Tempo in coda:0.659 s | Code cambiate:1 |
CLIENTE 241 | Prodotti acquistati:87 | Tempo nel negozio:0.896 s | Tempo in coda:0.529 s | Code cambiate:1 |
CLIENTE 175 | Prodotti acquistati:25 | Tempo nel negozio:6.580 s | Tempo in coda:6.246 s | Code cambiate:1 |
CLIENTE 205 | Prodotti acquistati:35 | Tempo nel negozio:4.222 s | Tempo in coda:3.964 s | Code cambiate:1 |
CLIENTE 208 | Prodotti acquistati:56 | Tempo nel negozio:3.790 s | Tempo in coda:3.535 s | Code cambiate:1 |
CLIENTE 207 | Prodotti acquistati:49 | Tempo nel negozio:3.790 s | Tempo in coda:3.501 s | Code cambiate:1 |
CLIENTE 211 | Prodotti acquistati:77 | Tempo nel negozio:3.451 s | Tempo in coda:3.096 s | Code cambiate:1 |
CLIENTE 214 | Prodotti acquistati:98 | Tempo nel negozio:3.276 s | Tempo in coda:2.923 s | Code cambiate:1 |
CLIENTE 212 | Prodotti acquistati:84 | Tempo nel negozio:3.277 s | Tempo in coda:2.952 s | Code cambiate:1 |
CLIENTE 213 | Prodotti acquistati:91 | Tempo nel negozio:3.277 s | Tempo in coda:2.892 s | Code cambiate:1 |
CLIENTE 245 | Prodotti acquistati:15 | Tempo nel negozio:0.997 s | Tempo in coda:0.663 s | Code cambiate:1 |
CLIENTE 218 | Prodotti acquistati:26 | Tempo nel negozio:3.374 s | Tempo in coda:3.143 s | Code cambiate:1 |
